date,fund,ticker,weight
2021-01-29,Equity Equal Weight,ABBV,0.02
2021-02-26,Equity Equal Weight,ABBV,0.02
2021-03-31,Equity Equal Weight,ABBV,0.02
2021-04-30,Equity Equal Weight,ABBV,0.02
2021-05-28,Equity Equal Weight,ABBV,0.02
2021-06-30,Equity Equal Weight,ABBV,0.02
2021-07-30,Equity Equal Weight,ABBV,0.02
2021-08-31,Equity Equal Weight,ABBV,0.02
2021-09-30,Equity Equal Weight,ABBV,0.02
2021-10-29,Equity Equal Weight,ABBV,0.02
2021-11-30,Equity Equal Weight,ABBV,0.02
2021-12-31,Equity Equal Weight,ABBV,0.02
2022-01-31,Equity Equal Weight,ABBV,0.02
2022-02-28,Equity Equal Weight,ABBV,0.02
2022-03-31,Equity Equal Weight,ABBV,0.02
2022-04-29,Equity Equal Weight,ABBV,0.02
2022-05-31,Equity Equal Weight,ABBV,0.02
2022-06-30,Equity Equal Weight,ABBV,0.02
2022-07-29,Equity Equal Weight,ABBV,0.02
2022-08-31,Equity Equal Weight,ABBV,0.02
2022-09-30,Equity Equal Weight,ABBV,0.02
2022-10-31,Equity Equal Weight,ABBV,0.02
2022-11-30,Equity Equal Weight,ABBV,0.02
2022-12-30,Equity Equal Weight,ABBV,0.02
2023-01-31,Equity Equal Weight,ABBV,0.02
2023-02-28,Equity Equal Weight,ABBV,0.02
2023-03-31,Equity Equal Weight,ABBV,0.02
2023-04-28,Equity Equal Weight,ABBV,0.02
2023-05-31,Equity Equal Weight,ABBV,0.02
2023-06-30,Equity Equal Weight,ABBV,0.02
2023-07-31,Equity Equal Weight,ABBV,0.02
2023-08-31,Equity Equal Weight,ABBV,0.02
2023-09-29,Equity Equal Weight,ABBV,0.02
2023-10-31,Equity Equal Weight,ABBV,0.02
2023-11-30,Equity Equal Weight,ABBV,0.02
2023-12-29,Equity Equal Weight,ABBV,0.02
2021-01-29,Equity Equal Weight,ABT,0.02
2021-02-26,Equity Equal Weight,ABT,0.02
2021-03-31,Equity Equal Weight,ABT,0.02
2021-04-30,Equity Equal Weight,ABT,0.02
2021-05-28,Equity Equal Weight,ABT,0.02
2021-06-30,Equity Equal Weight,ABT,0.02
2021-07-30,Equity Equal Weight,ABT,0.02
2021-08-31,Equity Equal Weight,ABT,0.02
2021-09-30,Equity Equal Weight,ABT,0.02
2021-10-29,Equity Equal Weight,ABT,0.02
2021-11-30,Equity Equal Weight,ABT,0.02
2021-12-31,Equity Equal Weight,ABT,0.02
2022-01-31,Equity Equal Weight,ABT,0.02
2022-02-28,Equity Equal Weight,ABT,0.02
2022-03-31,Equity Equal Weight,ABT,0.02
2022-04-29,Equity Equal Weight,ABT,0.02
2022-05-31,Equity Equal Weight,ABT,0.02
2022-06-30,Equity Equal Weight,ABT,0.02
2022-07-29,Equity Equal Weight,ABT,0.02
2022-08-31,Equity Equal Weight,ABT,0.02
2022-09-30,Equity Equal Weight,ABT,0.02
2022-10-31,Equity Equal Weight,ABT,0.02
2022-11-30,Equity Equal Weight,ABT,0.02
2022-12-30,Equity Equal Weight,ABT,0.02
2023-01-31,Equity Equal Weight,ABT,0.02
2023-02-28,Equity Equal Weight,ABT,0.02
2023-03-31,Equity Equal Weight,ABT,0.02
2023-04-28,Equity Equal Weight,ABT,0.02
2023-05-31,Equity Equal Weight,ABT,0.02
2023-06-30,Equity Equal Weight,ABT,0.02
2023-07-31,Equity Equal Weight,ABT,0.02
2023-08-31,Equity Equal Weight,ABT,0.02
2023-09-29,Equity Equal Weight,ABT,0.02
2023-10-31,Equity Equal Weight,ABT,0.02
2023-11-30,Equity Equal Weight,ABT,0.02
2023-12-29,Equity Equal Weight,ABT,0.02
2021-01-29,Equity Equal Weight,ADBE,0.02
2021-02-26,Equity Equal Weight,ADBE,0.02
2021-03-31,Equity Equal Weight,ADBE,0.02
2021-04-30,Equity Equal Weight,ADBE,0.02
