fund,family,method,first_live_date,n_obs,cumulative_return,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown
Equity Equal Weight,Equity,equal_weight,2021-01-29,735,0.4187370216873596,0.1274068053506292,0.1617886450399351,0.7874891672353196,-0.2032186262691359
Equity Min Variance,Equity,min_variance,2021-01-29,735,0.15048119961791584,0.04923551021447148,0.12753269813890286,0.3860618565510657,-0.1536154878717867
Equity Max Sharpe,Equity,max_sharpe,2021-01-29,735,0.23129545835779863,0.07394329849344872,0.1810872543131621,0.4083296683353282,-0.2952948934628834
Equity Risk Parity,Equity,risk_parity,2021-01-29,735,0.3239165299487725,0.10098341967091717,0.14586780547704128,0.6922940901226581,-0.18585902551366995
Crypto Equal Weight,Crypto,equal_weight,2021-01-31,1065,0.547584277876136,0.16144565773786468,0.7886722817427795,0.2047056318260709,-0.8159730614257941
Crypto Min Variance,Crypto,min_variance,2021-01-31,1065,0.7558841108867242,0.2128144200493034,0.6216513593118744,0.34233725521789965,-0.7560019174557968
Crypto Max Sharpe,Crypto,max_sharpe,2021-01-31,1065,-0.6737229981713864,-0.31876823396151566,0.7760115566427124,-0.41077768911150564,-0.8745480591033489
Crypto Risk Parity,Crypto,risk_parity,2021-01-31,1065,0.712075658383668,0.2023576972954575,0.7682048344577868,0.26341632884709104,-0.7986404402983466
Combined Equal Weight,Combined,equal_weight,2021-01-29,735,0.48428369464027976,0.14500082601051578,0.21053718754050543,0.6887183575710061,-0.2874698799026547
Combined Min Variance,Combined,min_variance,2021-01-29,735,0.16138761548664515,0.05263521269811511,0.12787901390898687,0.4116016466593671,-0.1551736304657313
Combined Max Sharpe,Combined,max_sharpe,2021-01-29,735,0.5913062340997783,0.17266164097771197,0.22485164714134492,0.7678913771495497,-0.2963889434351902
Combined Risk Parity,Combined,risk_parity,2021-01-29,735,0.45797976518849093,0.13800290387337255,0.15823990025848655,0.8721119240339721,-0.19789543999773107
Equity Equal Weight + Sentiment,Equity,equal_weight+sentiment,2021-01-29,735,0.42240374426618454,0.1284049685974944,0.1615009508662754,0.7950725237761304,-0.20090264192319018
Equity Min Variance + Sentiment,Equity,min_variance+sentiment,2021-01-29,735,0.13808850246332915,0.04534670623692971,0.1276859461477186,0.35514250083927446,-0.16038092439381058
Equity Max Sharpe + Sentiment,Equity,max_sharpe+sentiment,2021-01-29,735,0.25300433811172707,0.08039792113600863,0.18105436367245661,0.4440540371700491,-0.2858773986890607
Equity Risk Parity + Sentiment,Equity,risk_parity+sentiment,2021-01-29,735,0.3262696121070612,0.10165394782443027,0.1456693192675429,0.6978404809988026,-0.1851344117216136
